icon,precipIntensity,apparentTemperature,cloudCover,ozone,visibility,humidity,windBearing,precipType,pressure,windGust,temperature,time,precipAccumulation,windSpeed,uvIndex,precipProbability,summary,dewPoint,city,local_time,demand,region,hour,day_of_week,day_name,month,month_name,year,season,time_of_day,week,anomaly_score,is_anomaly
partly-cloudy-day,0.0,48.3,0.46,258.4,9.633,0.71,340.0,rain,1024.3,2.27,48.3,2018-12-17 14:00:00,0.0087,0.51,0.0,0.0,Partly Cloudy,39.23,san antonio,2018-12-17 14:00:00,8445.957427536232,SCEN,14,0,Monday,12,December,2018,Winter,Afternoon,51,1,False
clear-night,0.0,37.94,0.01,272.0,10.0,0.9,317.0,rain,1021.0,3.51,37.94,2019-12-23 08:00:00,0.0087,0.67,0.0,0.0,Clear,35.4,san antonio,2019-12-23 08:00:00,8157.0,SCEN,8,0,Monday,12,December,2019,Winter,Morning,52,1,False
cloudy,0.0011,66.44,0.9,290.7,2.425,0.96,55.0,rain,1012.4,3.15,65.67,2020-03-25 14:00:00,0.0087,0.84,1.0,0.01,Overcast,64.41,san antonio,2020-03-25 14:00:00,6992.0,SCEN,14,2,Wednesday,3,March,2020,Spring,Afternoon,13,1,False
partly-cloudy-day,0.0009,76.08,0.79,284.7,10.0,0.87,161.0,rain,1008.3,25.88,74.81,2019-05-28 13:00:00,0.0087,13.07,1.0,0.01,Mostly Cloudy,70.64,san antonio,2019-05-28 13:00:00,8250.0,SCEN,13,1,Tuesday,5,May,2019,Spring,Afternoon,22,1,False
partly-cloudy-day,0.0018,91.67,0.77,258.5,10.0,0.76,164.0,rain,1010.0,14.87,83.62,2018-10-14 17:00:00,0.0087,11.99,5.0,0.02,Humid and Mostly Cloudy,75.37,san antonio,2018-10-14 17:00:00,8990.480803974706,SCEN,17,6,Sunday,10,October,2018,Fall,Evening,41,1,False
partly-cloudy-day,0.0009,68.28,0.7,249.4,10.0,0.21,201.0,rain,1024.0,7.45,68.28,2018-12-16 20:00:00,0.0087,7.06,3.0,0.01,Mostly Cloudy,27.21,san antonio,2018-12-16 20:00:00,9185.603024148048,SCEN,20,6,Sunday,12,December,2018,Winter,Evening,50,1,False
clear-night,0.0012,85.71,0.03,285.6,10.0,0.65,115.0,rain,1014.1,11.06,82.24,2019-09-01 03:00:00,0.0087,4.86,0.0,0.01,Clear,69.15,san antonio,2019-09-01 03:00:00,6592.0,SCEN,3,6,Sunday,9,September,2019,Fall,Night,35,1,False
cloudy,0.0034,83.87,0.99,288.9,8.642,0.95,151.0,rain,1009.1,25.94,79.18,2019-05-20 15:00:00,0.0087,14.08,3.0,0.03,Humid and Overcast,77.48,san antonio,2019-05-20 15:00:00,8603.908084914183,SCEN,15,0,Monday,5,May,2019,Spring,Afternoon,21,-1,True
clear-day,0.0,82.22,0.05,296.7,9.997,0.88,162.0,rain,1014.3,0.43,78.75,2018-07-30 13:00:00,0.0087,0.26,0.0,0.0,Humid,74.94,san antonio,2018-07-30 13:00:00,8284.234643179765,SCEN,13,0,Monday,7,July,2018,Summer,Afternoon,31,1,False
clear-day,0.0,93.76,0.0,302.5,10.0,0.39,153.0,rain,1009.7,10.43,92.29,2020-05-19 00:00:00,0.0087,8.77,1.0,0.0,Clear,63.64,san antonio,2020-05-19 00:00:00,7208.0,SCEN,0,1,Tuesday,5,May,2020,Spring,Night,21,1,False
cloudy,0.0,44.97,0.98,241.4,4.777,0.9,358.0,rain,1020.6,9.24,47.99,2018-11-11 16:00:00,0.0087,6.58,3.0,0.0,Overcast,45.26,san antonio,2018-11-11 16:00:00,8780.507807196198,SCEN,16,6,Sunday,11,November,2018,Fall,Afternoon,45,1,False
clear-night,0.0,38.64,0.0,274.7,10.0,0.86,331.0,rain,1023.9,3.42,40.26,2019-11-03 12:00:00,0.0087,3.02,0.0,0.0,Clear,36.32,san antonio,2019-11-03 12:00:00,5404.0,SCEN,12,6,Sunday,11,November,2019,Fall,Afternoon,44,1,False
cloudy,0.0013,66.96,0.99,286.7,10.0,0.92,161.0,rain,1018.5,13.77,66.29,2020-01-18 06:00:00,0.0087,6.15,0.0,0.04,Overcast,63.96,san antonio,2020-01-18 06:00:00,4512.0,SCEN,6,5,Saturday,1,January,2020,Winter,Morning,3,1,False
clear-day,0.0,61.71,0.18,288.4,10.0,0.56,141.0,rain,1019.1,14.84,61.71,2020-01-12 20:00:00,0.0087,6.8,3.0,0.0,Clear,45.79,san antonio,2020-01-12 20:00:00,6530.0,SCEN,20,6,Sunday,1,January,2020,Winter,Evening,2,1,False
clear-day,0.0,46.86,0.29,262.8,10.0,0.51,71.0,rain,1024.9,12.9,49.92,2019-02-25 14:00:00,0.0087,7.53,0.0,0.0,Clear,32.63,san antonio,2019-02-25 14:00:00,8445.957427536232,SCEN,14,0,Monday,2,February,2019,Winter,Afternoon,9,1,False
partly-cloudy-day,0.0019,98.59,0.4,275.8,10.0,0.47,121.0,rain,1010.1,9.4,92.76,2019-06-02 23:00:00,0.0087,7.11,2.0,0.01,Partly Cloudy,69.72,san antonio,2019-06-02 23:00:00,8688.0,SCEN,23,6,Sunday,6,June,2019,Summer,Night,22,1,False
partly-cloudy-night,0.0023,68.04,0.62,272.9,6.458,0.87,52.0,rain,1013.0,19.7,67.52,2020-04-10 05:00:00,0.0087,6.98,0.0,0.04,Mostly Cloudy,63.37,san antonio,2020-04-10 05:00:00,4306.0,SCEN,5,4,Friday,4,April,2020,Spring,Morning,15,1,False
partly-cloudy-night,0.0,54.28,0.77,279.9,10.0,0.35,24.0,rain,1028.0,9.44,54.28,2019-03-16 04:00:00,0.0087,4.31,0.0,0.0,Mostly Cloudy,27.46,san antonio,2019-03-16 04:00:00,6550.273116824537,SCEN,4,5,Saturday,3,March,2019,Spring,Night,11,1,False
